step,sim_time,force_z,x_def_x,x_def_y,x_def_z
150,3.0000,32.7962,-0.002801,-0.010842,0.033280
151,3.0200,36.6145,-0.004141,-0.011430,0.041657
152,3.0400,40.2884,-0.002758,-0.010665,0.050139
153,3.0600,43.8033,0.000471,-0.009478,0.058377
154,3.0800,47.1453,0.005205,-0.008201,0.066028
155,3.1000,50.3012,0.009116,-0.007216,0.073404
156,3.1200,53.2586,0.010699,-0.006627,0.080725
157,3.1400,56.0058,0.010907,-0.006780,0.087773
158,3.1600,58.5320,0.011459,-0.006858,0.094374
159,3.1800,60.8272,0.012767,-0.006139,0.100501
160,3.2000,62.8824,0.014239,-0.005681,0.106160
161,3.2200,64.6894,0.016149,-0.005728,0.111270
162,3.2400,66.2410,0.017677,-0.006182,0.115951
163,3.2600,67.5313,0.018274,-0.007023,0.120272
164,3.2800,68.5550,0.016696,-0.009672,0.124095
165,3.3000,69.3082,0.015629,-0.012218,0.127385
166,3.3200,69.7878,0.015456,-0.013649,0.130241
167,3.3400,69.9921,0.015070,-0.013623,0.132742
168,3.3600,69.9201,0.011671,-0.013070,0.134805
169,3.3800,69.5721,0.004315,-0.012872,0.136096
170,3.4000,68.9496,-0.004583,-0.012964,0.136466
171,3.4200,68.0550,-0.013826,-0.013488,0.135778
172,3.4400,66.8918,-0.019347,-0.011383,0.135039
173,3.4600,65.4646,-0.019716,-0.006124,0.134493
174,3.4800,63.7791,-0.017687,0.000295,0.133490
175,3.5000,61.8418,-0.013045,0.007626,0.131546
176,3.5200,59.6605,-0.007500,0.013169,0.129064
177,3.5400,57.2437,-0.005327,0.014106,0.126380
178,3.5600,54.6010,-0.004181,0.012493,0.123350
179,3.5800,51.7428,0.000921,0.012318,0.119144
180,3.6000,48.6805,0.008185,0.013226,0.113916
181,3.6200,45.4260,0.014105,0.013695,0.108359
182,3.6400,41.9922,0.016053,0.012709,0.103065
183,3.6600,38.3927,0.014720,0.010214,0.097889
184,3.6800,34.6417,0.013218,0.007173,0.092276
185,3.7000,30.7539,0.012678,0.004403,0.086039
186,3.7200,26.7448,0.013042,0.002409,0.079164
